"","name","assay","n_gt_cutoff","cutoff","fit_method","top_over_cutoff","rmse","a","b","tp","p","q","ga","la","er","bmr","bmdl","bmdu","caikwt","mll","hitcall","ac50","ac50_loss","top","ac5","ac10","ac20","acc","ac1sd","bmd","conc","resp","errfun","exp"
"1","Ca-074-Me","Mahalanobis distance (cutoff = 1)",21,2.99453371046163,"exp3",12.7034394198662,3.33052427731463,3.41111933672819,0.47318346556784,NA,0.300010260204872,NA,NA,NA,0.939408824112722,4.03962597541273,0.192064842034199,0.224529372716336,7.75327656706812e-18,-62.2732034112524,0.999999999999829,3.90386874631822,NA,38.0408775815964,0.0313975312765709,0.180692693330132,0.80450797481429,0.101510314471583,0.101510314471583,0.207835107025157,"10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","37.9920054087404|34.9719592329149|36.8792994573926|34.808234503398|33.4285566452351|40.7955122538911|17.5491664080192|12.0168081840678|12.0768962545209|6.6205113640124|7.50788548587171|6.16263062416768|7.36520685837072|4.7688550027433|3.78201724128405|4.83599694119871|5.8586517604262|6.56644494834988|0.834338121297479|4.34495145751104|3.76835072177284|1.79541750441871|0.416711846832874|5.69329796102055","dt4","Definitive_rep1"
"2","Tetrandrine","Mahalanobis distance (cutoff = 1)",24,2.99453371046163,"poly2",21.6787396479631,8.28612505764363,-328.53794081225,-15.2432593337413,NA,NA,NA,NA,NA,1.9902027484476,4.03962597541273,0.180434388591436,0.201980322395038,1.10654420424972e-13,-84.2447559697239,0.999999999996764,1.69433182010181,NA,64.9177166761466,0.152118245267389,0.307399497126171,0.628298045027032,0.140228159371679,0.140228159371679,0.189790608145672,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","66.2853481242424|62.677088090381|65.4776982462729|62.1760079725678|64.3486663623144|59.4416059650492|14.1339751347003|15.9777426568638|17.8694339813169|11.7885699774395|16.4014112378863|21.0300697978467|12.8038307378205|7.82117953662318|18.0963399378012|12.8042316081925|9.0690072315683|4.90767605658539|12.4570220335747|11.7939629000098|5.48990085378115|15.7291392273953|4.41469582449212|3.65455690174925","dt4","Definitive_rep1"
"3","Fluphenazine","Mahalanobis distance (cutoff = 1)",24,2.99453371046163,"exp3",11.267756296526,37.8302272575899,8.00246361638347,2.08557286101872,NA,0.300000490221481,NA,NA,NA,1.7469967301795,4.03962597541273,0.083357544094674,0.148063114674812,6.28926159949035e-07,-90.5758937952599,0.999999358281165,3.17195299855045,NA,33.7416760712135,0.00841264909242439,0.0641105703581011,0.40488144487135,0.0457164735165114,0.0457164735165114,0.105624026988275,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","38.2473958765681|38.1633998909347|29.589687012066|11.4562287881575|201.508170039682|4.94979216339081|7.64216738234308|9.24181754095924|8.8693498561569|4.47590074891381|7.22133922460752|7.6756247024757|8.7776265546861|7.99438831690718|4.56025067342946|6.35015773004888|13.412856253551|11.4830713671367|3.53998420210738|7.28202402866528|4.41448870809969|9.66754264541106|11.2225697829088|4.37873100444459","dt4","Definitive_rep1"
"4","Berberine chloride","Mahalanobis distance (cutoff = 1)",22,2.99453371046163,"exp3",16.8965302940872,4.66637838282491,17.6364236667111,36.5079383373581,NA,0.300011136937322,NA,NA,NA,1.14735702143199,4.03962597541273,0.171487923438373,0.209340642560076,2.27971114840535e-19,-68.9760036059717,1,24.7309768048736,NA,50.5972295554803,0.0450132187314207,0.370206435476293,2.61593489852451,0.0759540916138746,0.0759540916138746,0.189260558335284,"100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285","51.8230312022663|43.5415205415606|49.0491779456714|54.3622673832835|52.8927252698678|43.620988507712|27.3577514875144|29.6017030863193|28.1842750981597|30.5361854356626|14.5452673639981|11.903224811994|15.0098913981328|12.1533589526888|7.86642890532779|9.67783352091245|9.69010315248886|7.07049402209972|4.66891443897181|5.06325632731554|7.68885800694608|1.86418983570528|2.62114195320837|5.02536648294144","dt4","Definitive_rep1"
"5","Rapamycin","Mahalanobis distance (cutoff = 1)",24,2.99453371046163,"hill",21.3169753100118,9.78909133081258,NA,NA,63.8344011709084,0.300000000225843,NA,2.94237297650697,NA,1.98970407577563,4.03962597541273,0.000178210127110891,0.000748668643677545,1.06732245540521e-12,-88.123355388284,0.999999999998929,2.94237297650697,NA,63.8344011709084,0.000160762859818711,0.00194039148808835,0.0289621692393683,0.000128578261808613,0.000128578261808613,0.00036950823503507,"20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02","56.6621559282943|56.5483384495571|40.9004439089631|48.0072925982779|43.7058954769796|27.2715477368598|23.5520050224292|21.4998934756929|24.397072812346|58.8166609293488|28.4892415930717|28.3458464978625|20.9003817584433|20.2105422327482|20.0768651203012|20.5610960846384|19.0063967232766|22.0181719156039|15.4672114864544|15.2663983951919|19.0041660610988|23.3421613642947|12.540301284836|18.9058094975102","dt4","Definitive_rep1"
"6","Amperozide","Mahalanobis distance (cutoff = 1)",21,2.99453371046163,"exp3",36.8187729497489,6.76765949009764,3.87243223242104,1.2898809143824,NA,0.300002341949142,NA,NA,NA,1.69827627765456,4.03962597541273,0.400057714518322,0.44562626457843,3.54300938030849e-16,-70.1445920379864,0.999999999999752,36.3952526029155,NA,110.255056775856,0.859218169189008,3.48447169642375,10.9820767796467,0.201372098922704,0.201372098922704,0.420634260529678,"75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285","99.9230057547175|116.617107425599|109.442662325722|53.8072802747063|56.0205188384826|52.93336203762|13.9449607836895|17.0071644610488|10.9349797388826|7.12634034854127|10.4221097893618|9.92992470682287|10.3141405792563|8.20451465483992|10.6789160015005|5.36981829307047|9.66189949239454|5.13038956690523|20.3981900617482|10.692669375365|11.5891706564307","dt4","Definitive_rep1"
"7","Etoposide","Mahalanobis distance (cutoff = 1)",13,2.99453371046163,"exp5",12.3140762336453,2.68428842977314,NA,NA,36.8749163948451,1.28091016723854,NA,0.524620963066979,NA,0.831422919276431,4.03962597541273,0.11001418411168,0.152049423964598,5.05226918987895e-19,-51.3397178270874,0.999999999999999,0.524620963066979,NA,36.8749163948451,0.0687168599106671,0.120537456917142,0.216548670362045,0.101647798624176,0.101647798624176,0.129963212973072,"7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","30.1492223139115|37.0584640517232|34.8488532703227|37.3329496434369|40.7697304510157|38.1693090933816|32.8446701556982|25.5975115300204|28.4503164796026|14.2742544510556|8.41075615752013|14.3177791091074|1.15867950867626|0.999213542665134|0.565772912237051|2.08211872925227|1.17375517174221|3.96970944816942|1.31656466416407|1.69962294636957|-1.04824838763467","dt4","Definitive_rep1"
"8","Latrunculin B","Mahalanobis distance (cutoff = 1)",20,2.99453371046163,"pow",35.0602959112146,17.7440656804069,35.2668316367977,NA,NA,0.541423051161187,NA,NA,NA,2.00744852055301,4.03962597541273,0.0163795295570402,0.0206540086231872,7.58061515122666e-13,-84.6373894795698,0.99999999999914,2.08479577460868,NA,104.989238004892,0.0296537066902566,0.106678458813871,0.383773053863854,0.0105150366221148,0.0105150366221148,0.0182785124729829,"7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","104.899808398523|87.5259006981187|108.819347554117|66.8141673970009|69.3530390044269|65.9137117083601|87.1721712588282|75.6781894277442|76.9421635217814|11.6638686922669|11.8206677394242|11.5776855791226|8.45072642137127|8.7411048829219|11.7450245636598|5.47758105139676|3.75359041435035|0.021151286265658|7.18058796736529|3.06767019577885|3.2008347968838","dt4","Definitive_rep1"
"9","Fenbendazole","Mahalanobis distance (cutoff = 1)",18,2.99453371046163,"exp3",12.8114304759211,5.31670946852093,6.46461469233422,0.0698714118412975,NA,0.300000406498659,NA,NA,NA,1.3889190858451,4.03962597541273,0.00538459226893247,0.00755710447508654,1.07756738347428e-09,-55.2353723840058,0.999999995952707,0.203488512265155,NA,38.3642604393813,0.000782226768780739,0.00547790855457754,0.0308475174396717,0.0027926220107793,0.0027926220107793,0.00628164115559267,"0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002","34.5630508450945|39.1968827702583|46.6680899779264|15.5991626349863|20.4216150252322|13.8355239902888|9.16180151906297|6.87500956224396|10.9992939586406|10.083885155367|4.95130050477971|6.98187318571233|13.7021302500521|6.78528467659061|4.02095733589234|6.55223419263704|8.82045699304849|16.7464130655781","dt4","Definitive_rep1"
"10","Taxol","Mahalanobis distance (cutoff = 1)",12,2.99453371046163,"pow",20.4799743039125,4.43583812352868,145.92866347391,NA,NA,0.436385740210663,NA,NA,NA,1.32313183839569,4.03962597541273,0.000228029078733529,0.000328690500026396,6.6386068887633e-11,-35.3850052665624,0.999999999928774,0.0280186372018253,NA,61.327973442454,0.000143184635685306,0.000701006238152276,0.00343200053257414,0.000135610961698427,0.000135610961698427,0.000269292188424374,"0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","69.2636291105423|62.1378736977845|53.3128461818726|33.6282304163472|25.2575291135636|31.4117922667074|22.5221467707733|16.1462445958283|23.8205949568198|11.9049200753785|14.842605526694|8.9869908560138","dt4","Definitive_rep1"
