DosePlateID,Chem.Name,CP.POD
TimeCourse U2OS 24h,Amperozide,2.779713268
LAB-000005,Berberine chloride,2.914070135
LAB-000006,Berberine chloride,1.178962523
LAB-000007,Berberine chloride,4.03645393
LAB-000008,Berberine chloride,1.089933497
LAB-000009,Berberine chloride,2.999162519
LAB-000010,Berberine chloride,1.853531623
LAB-000011,Berberine chloride,2.824879975
LAB-000012,Berberine chloride,2.81190083
LAB-000013,Berberine chloride,2.440619068
LAB-000014,Berberine chloride,1.52054753
LAB-000015,Berberine chloride,1.180048888
LAB-000016,Berberine chloride,1.963360277
TimeCourse U2OS 24h,Berberine chloride,1.684612427
LAB-000005,Ca-074-Me,0.0616595
LAB-000006,Ca-074-Me,0.009549926
LAB-000007,Ca-074-Me,0.009549926
LAB-000008,Ca-074-Me,0.009549926
LAB-000009,Ca-074-Me,0.009549926
LAB-000010,Ca-074-Me,0.009549926
LAB-000011,Ca-074-Me,0.009549926
LAB-000012,Ca-074-Me,0.035481339
LAB-000013,Ca-074-Me,0.03801894
LAB-000014,Ca-074-Me,0.033884416
LAB-000015,Ca-074-Me,0.009549926
LAB-000016,Ca-074-Me,0.009549926
TimeCourse U2OS 24h,Ca-074-Me,0.010715193
LAB-000005,Etoposide,0.057543994
LAB-000006,Etoposide,0.111429453
LAB-000007,Etoposide,0.092257143
LAB-000008,Etoposide,0.115080039
LAB-000009,Etoposide,0.081283052
LAB-000010,Etoposide,0.077624712
LAB-000011,Etoposide,0.131069004
LAB-000012,Etoposide,0.096605088
LAB-000013,Etoposide,0.072443596
LAB-000014,Etoposide,0.102093948
LAB-000015,Etoposide,0.090157114
LAB-000016,Etoposide,0.077624712
TimeCourse U2OS 24h,Etoposide,0.060255959
TimeCourse U2OS 24h,Fenbendazole,0.139476166
TimeCourse U2OS 24h,Fluphenazine,3.451437393
TimeCourse U2OS 24h,Latrunculin B,0.12793813
TimeCourse U2OS 24h,Metoclopramide,97.7237221
TimeCourse U2OS 24h,Oxibendazole,0.097723722
LAB-000005,Rapamycin,0.125025903
LAB-000006,Rapamycin,0.097723722
LAB-000007,Rapamycin,0.038904515
LAB-000008,Rapamycin,0.072443596
LAB-000009,Rapamycin,0.161994399
LAB-000010,Rapamycin,0.158854675
LAB-000011,Rapamycin,0.159955803
LAB-000012,Rapamycin,0.095499259
LAB-000013,Rapamycin,0.080260156
LAB-000014,Rapamycin,0.172981636
LAB-000015,Rapamycin,0.169044093
LAB-000016,Rapamycin,0.11708466
TimeCourse U2OS 24h,Rapamycin,0.081283052
TimeCourse U2OS 24h,Sorbitol,NA
LAB-000009,Staurosporine,NA
LAB-000014,Staurosporine,NA
TimeCourse U2OS 24h,Taxol,0.000653131
TimeCourse U2OS 24h,Tetrandrine,0.561047976
APCRA,Rotenone,0.106905488
TimeCourse,Rotenone,0.100925289
