name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Sorbitol,Mahalanobis distance (cutoff = 1),8,0.8100760615740737,poly1,0.31597718985373174,1.8765717553587629,0.010238622300158172,NA,NA,NA,NA,NA,NA,-0.3545673328470321,1.0927926070634255,34.23388034166009,NA,0.6597088122361582,-48.553738841096035,0.014151428171710135,12.500000000000004,NA,0.2559655575039544,1.2500000000000004,2.500000000000001,5.000000000000002,NA,79.1196352229498,106.73238791575928,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,2.50449641388812|-0.174130516647576|0.422291614972401|0.297089820283581|-0.0897269264608775|3.17379029078311|0.000815523462671663|-0.756519213524925|0.447953147389347|0.548650995746981|0.0645054627926682|-0.930676623383775|-0.1619955456387|0.64324858392523|-0.398532928703698|-0.524684575700491|0.424135587323526|9.37140846567085|1.54100161977566|-1.01743356801215|0.950602308677357|-0.439900441516004|-0.256442678805761|-0.478075900872067|-0.236436430178087|-0.992553398825024|0.131223423818971|-0.789101828610141|0.437858726151586|0.771903457832001|0.263325188371695|-0.236720019900665,dt4,rep1
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),9,0.8100760615740737,exp4,0.730249563881887,0.7214407472778382,NA,NA,0.591557690675624,NA,NA,0.11917170706285929,NA,-0.561695945313791,1.0927926070634255,NA,NA,0.008246265892778637,-26.136451290587154,0.06777870591589699,0.11917170706285929,NA,0.591557690675624,0.008818775614299045,0.01811446812468192,0.03836472061922111,NA,NA,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,-0.27862009773752|0.919907105848422|1.14122402023875|0.584652924053042|-0.158696246119212|-0.0084011300455451|1.15548977743024|-0.279535668870891|0.107610554909584|1.28774314230964|1.00875174148294|0.159926592906038|2.0549855296556|0.557324172488461|0.386649549110345|1.75555421006725|0.575503749350091|0.520404995073629|0.902912878444971|0.734631114680817|-0.149282376302716|2.30130158858027|0.0161456449621853|0.0911465633568485,dt4,rep1
Metoclopramide,Mahalanobis distance (cutoff = 1),10,0.8100760615740737,exp4,0.9336901441439992,0.9777461141784688,NA,NA,0.7563600346987001,NA,NA,0.03138997921720964,NA,-0.3324532470307275,1.0927926070634255,NA,NA,0.003572941335203853,-32.54885223291306,0.3760063275586848,0.03138997921720964,NA,0.7563600346987001,0.002322876713581587,0.0047713739441916925,0.010105316207950195,NA,NA,NA,100|100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,2.7977272579824|1.37973397146527|-0.0471549711678736|0.229872277799845|1.11555675131769|0.452521818980155|1.8167405452971|-0.425506306625397|0.539904676326893|1.43728641174393|0.772286883387027|-0.387799594330188|2.49377552138566|1.10126800310033|0.472304317984602|0.587560979965843|1.25744838845603|0.412798984712876|0.586945403751256|-0.255822148930478|1.07404375720012|3.48131613286517|0.193761671808382|0.536638272539227,dt4,rep1
Ca-074-Me,Mahalanobis distance (cutoff = 1),12,0.8100760615740737,pow,3.1604838856767152,0.7365575280401309,0.8615275714319619,NA,NA,0.4730101982179141,NA,NA,NA,-0.6744872034210699,1.0927926070634255,1.2477888517053035,2.283597556392061,9.005548694443515e-9,-25.03787825246151,0.9999973602928336,2.3098653780409673,NA,2.5602323387773187,0.01776099722602704,0.07689191497857083,0.3328848326380997,0.87793284915944525,0.87793284915944525,1.6531873525302967,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.74168979267163|2.17149969726668|2.53358827846435|2.97599042486505|1.66735547090161|2.31818925709774|2.30171733770324|1.72687678385972|0.453131293719744|1.32062475496071|1.08390218581891|-0.258799123885688|0.176321532169829|0.144487130023234|0.550792693018073|2.2207899983994|-0.0392744045938032|0.622502985516773|-0.070976759229604|-0.388937675694586|0.0393373883920929|2.09989509476735|0.263791749230709|0.32044021294908,dt4,rep1
Tetrandrine,Mahalanobis distance (cutoff = 1),11,0.8100760615740737,exp5,8.028044727367194,0.7272199708029163,NA,NA,6.503327355968598,2.297277285001148,NA,2.80475280274647,NA,-0.6823487308468127,1.0927926070634255,1.4201964147507293,1.7708249507562963,1.1235408115990122e-13,-25.19841072658282,0.9999999655760194,2.8047526670310154,NA,6.503326854886124,0.9029734738260832,1.235255074810279,1.7124702821713598,1.3672360926051514,1.3672360926051514,1.5744350474403173,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.84716220034677|6.14650456775787|6.50744939514067|4.97515423890452|5.09762757259777|3.77414431619927|0.481480834964111|0.844161952741372|0.512442212301385|0.229912933719328|0.645948578387462|0.0924838125745953|-0.233574437416827|-0.650719689263815|1.58590236667005|1.63955473207828|-0.0887058904328759|0.523881108491864|1.48068641959169|-0.054041484636159|-0.435881379426141|-0.0217923109096869|1.57340201665674|-0.187492279791359,dt4,rep1
Fluphenazine,Mahalanobis distance (cutoff = 1),10,0.8100760615740737,exp2,2.665638104405865,2.5208858478219516,2.185536359516638e-5,0.966108751905203,NA,NA,NA,NA,NA,-0.21329897542004178,1.0927926070634255,10.189251928385819,10.857383292351132,0.018432967025119554,-40.57726702960777,0.9721367357266074,10.441465331623622,NA,2.1593696171988825,8.21709370853316,8.88665149928971,9.556258169706307,10.163912382732473,10.163912382732473,10.453123411561833,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,2.44201448288583|2.27767130678592|1.7433696594718|-1.26002872263434|11.6298292522619|-0.810117468875541|-0.0535317860505993|0.593535013517815|1.61861087047425|0.469722108626418|0.186712078283067|0.622700998245446|0.765265712007322|0.207148612152852|-0.289338162332335|0.0169612235979932|1.72951221952857|0.268345630178657|-0.453029308414321|1.45317324257009|-0.290563891239858|0.790659468482122|0.721980325536868|1.95710770846603,dt4,rep1
Berberine Chloride,Mahalanobis distance (cutoff = 1),15,0.8100760615740737,poly2,6.271514413349746,0.6176965848510968,-21.029949589558573,-244.9560753498668,NA,NA,NA,NA,NA,-0.7173756458883126,1.0927926070634255,11.404994786782936,15.540332674240922,4.7656304282934825e-15,-20.538956305096924,0.9999999994656851,34.426541689861885,NA,5.0804036960714,2.995447579333812,6.06794808127431,12.47009157236738,9.830228775076314,9.830228775076314,13.469455953886332,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.12071030374655|4.49033729543137|5.09730573037032|5.81835124800438|5.14924347954134|4.36333133228459|2.30737861879434|1.68121462559107|2.3408965977926|1.05102120902817|1.10017275227922|0.419772861634391|0.724665828261638|1.12095263299163|0.0710806992810555|0.17668496157321|-0.410656257586164|0.849113043817728|0.41769090884438|-0.108280103054205|0.0750327037552228|1.5916553407941|-0.683463315800819|-0.816985259671436,dt4,rep1
Rapamycin,Mahalanobis distance (cutoff = 1),24,0.8100760615740737,hill,3.324726732835134,0.9076983712278855,NA,NA,3.2685352527477134,0.30000000298168505,NA,0.11649008043094346,NA,-0.5773512937618985,1.0927926070634255,0.0037439213756020138,0.03259172937487723,3.0262302727279205e-12,-28.08685639251157,0.9999999999908696,0.035592870162610105,NA,2.693281537545123,3.2373604127182506e-6,3.777518865367302e-5,5.210149329154286e-4,0.002878491452306363,0.002878491452306363,0.011732476739338311,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,3.28021326191872|3.31898076265291|1.86638389435913|3.68107588940481|2.45861516810051|2.51740312461211|2.61295202731619|1.39760613696377|2.80894298718631|5.55047135434777|1.98664254679622|2.18267268180658|1.73696239280038|1.91545355952204|1.44567262023112|1.35985593547094|2.12612574570186|1.38130666719189|1.30399928446712|1.37828726305763|1.94677378932794|2.93044007247466|1.07534214393336|2.23339171193122,dt4,rep1
Amperozide,Mahalanobis distance (cutoff = 1),11,0.8100760615740737,poly1,6.752390565463318,0.7454138096338238,0.07293266607307275,NA,NA,NA,NA,NA,NA,-0.5139371460278503,1.0927926070634255,13.629138927350736,16.66276553892043,4.4964763957483033e-10,-23.785144279092282,0.9999952327687609,37.50000000000001,NA,5.469949955480457,3.750000000000001,7.500000000000002,15.000000000000004,11.107177417077304,11.107177417077304,14.983582335637283,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,5.46372508471511|6.2443808711254|5.28091551198204|2.17825953399316|1.95281732140175|2.6221728812196|0.621727696859636|0.112725945522283|-0.795957908936937|-0.239225473549217|1.36380741303626|0.283114992633128|0.894287674789096|0.916203226300077|0.854621756726188|-0.137033051637185|0.50928383706121|0.697609767638459|1.83644045007345|0.338786440106499|0.300318255777307,dt4,rep1
Etoposide,Mahalanobis distance (cutoff = 1),10,0.8100760615740737,exp5,3.457152891800907,0.39180298761934174,NA,NA,2.800556798849499,2.534934711248514,NA,0.7774937193873238,NA,-1.1543904968782135,1.0927926070634255,0.580396910174213,0.7870496341858502,3.0716831531569507e-13,-10.281961755862334,0.9999999814597346,0.7774937193873238,NA,2.800556798849499,0.2783712047677733,0.36978383052399527,0.49718032225745623,0.5880153501326204,0.5880153501326204,0.6805935635125895,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,2.65325459413454|3.05554596444588|2.59510844811121|3.10188899764958|2.49288385412342|2.91523490982549|2.04704415729588|2.45915764521302|1.61394075953086|0.0197025800884529|0.28571914903246|0.312275678980261|-0.528850825314308|-0.658698053313254|0.209267891225218|0.371761036319288|-0.271044999261949|1.02558172426185|0.029892103820166|0.154717265640867|-0.648164572028788,dt4,rep1
