name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),23,0.6634127034429077,hill,3.761027930343515,0.9083697742404461,NA,NA,2.861473223598277,0.30000000040734287,NA,0.1670028136165215,NA,-0.24806956621443418,0.8949437369444825,0.0011969895743448235,0.07419024657950705,8.401182235916813e-10,-32.86487543384524,0.9999999986185446,0.07079265289194654,NA,2.4951137069934752,5.6514301483517375e-6,6.654807537506214e-5,9.373804012587708e-4,0.0030799068535971325,0.0030799068535971325,0.012107134232682113,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,2.06196552074179|4.05464560339498|3.51815678249598|2.66493915575256|3.57175633563175|1.56496912753345|2.15704574216738|2.86245816286679|1.66844897293946|1.51594051424934|2.625116937004|1.38056774740016|3.84361297786662|1.61706972017499|0.453997656469711|1.32872290740116|2.14101234777803|1.35664301811608|1.42085768517609|2.14431133699245|1.11254499403756|2.82307991863968|3.0134382713153|1.11921969001406,dt4,PR_0.9
Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),24,0.6634127034429077,exp5,7.4360279803352265,1.0172315337725368,NA,NA,4.933629863060898,0.3666423025963221,NA,0.009474994016696225,NA,-0.20398177313767332,0.8949437369444825,1.5344082524969523e-4,5.963963413024262e-4,2.9230903114425815e-15,-34.60782193547432,0.999999999999997,0.00947140933446082,NA,4.9331554253112975,7.804641206594018e-6,5.5590294485576523e-05,4.304139398590421e-4,1.3139020579847773e-4,1.3139020579847773e-4,3.20060967160969e-4,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,3.49910307881765|3.90151868840373|5.42248002452279|5.68440410583943|3.84178068098326|4.55162351274195|7.21896819033294|7.3484766730667|5.35632282208268|4.72882889190429|4.38504880883078|4.32524696220977|3.89765286265658|4.37839275198475|4.81061758553628|3.34087514584521|3.62039014945375|2.60505131869441|1.30156818370147|0.98854441855911|1.89644303575416|2.62390608454751|2.79220790698897|2.61372558232107,dt4,PR_0.9
Ca-074-Me,Mahalanobis distance (cutoff = 1),15,0.6634127034429077,exp3,5.539776394723328,0.5057244271771341,0.44112310867217497,0.6867428124369812,NA,0.3000009738095274,NA,NA,NA,-0.9202988264163963,0.8949437369444825,0.8753719222430033,1.0837539075805112,1.6020217450885054e-13,-17.568982886672586,0.9999999964937037,3.5870316275938112,NA,3.6751580344926076,0.020404056177690432,0.1293520354325782,0.6435087128083177,0.516072133141246,0.516072133141246,0.9670977186121142,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.75203694747281|3.69438529440295|3.94801310874559|2.63242360260949|2.64999539799193|3.02434509937653|1.37091138026213|2.65481935827732|1.98106280258208|0.802804168670807|0.512259223840741|0.200049942501028|0.129972110384919|0.640323374404363|1.07259101068748|1.74643603355925|0.47114755435091|0.524057104408846|0.3081002508345|0.77468969360118|0.741670984719691|0.961926611185994|-0.105303776219069|-0.308087059121142,dt4,PR_0.9
Amperozide,Mahalanobis distance (cutoff = 1),24,0.6634127034429077,exp3,10.760064762305849,0.9550364340342294,1.7573453316716543,19.95464205489582,NA,0.30000146073605627,NA,NA,NA,-0.29342547333857083,0.8949437369444825,0.9020464924476491,1.2248233319855326,4.3627354379898325e-14,-33.48521387641819,0.9999999999997272,28.162948878426434,NA,7.1383636531820915,0.0718669807962872,0.5522148335323825,3.5285356155110645,0.4485405677789532,0.4485405677789532,1.0352231177967604,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,7.42793693038389|9.719185423884|7.89493363587711|4.78683668615698|6.0821816008204|5.51249712721419|3.58854930514767|2.95889102890811|2.96068575996056|2.05324244669994|1.59241110700537|1.68647682409381|1.68897435044677|1.47325641643509|1.83143500570989|2.30157883736955|2.11646311972492|1.96984550735703|1.19733744408041|1.19960781294054|1.35752870494263|0.87858912516182|2.09542288158925|1.70038785767638,dt4,PR_0.9
Tetrandrine,Mahalanobis distance (cutoff = 1),20,0.6634127034429077,pow,10.495693077844962,0.9038263286079312,2.7235725253091325,NA,NA,0.38981882978771054,NA,NA,NA,-0.3505579170632271,0.8949437369444825,0.047867094957197355,0.07065049975792059,4.556089924210774e-13,-31.731879842480602,0.9999999999832592,1.8772710188902386,NA,6.962976119280139,0.005107786457001841,0.030231747192861903,0.1789343673677359,0.026703213997857324,0.026703213997857324,0.05755491836225761,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.86175421391982|7.01339818596402|7.03803827194717|4.96067402729403|5.37494519907827|4.67737200862626|1.4570027165253|1.37372002803063|0.876364001235417|2.37347212423155|1.9119789718039|0.86756571503276|1.23177590245465|1.30648714197619|0.589199785202697|2.31607464760791|1.11776145645796|2.18438847716889|0.749834078024441|0.646801242263915|0.640369638547875|1.70097886724146|1.14508219653725|0.159853125995414,dt4,PR_0.9
Fenbendazole,Mahalanobis distance (cutoff = 1),24,0.6634127034429077,exp3,8.54812039703689,0.7086784939410969,1.107806920053989,0.276043055078736,NA,0.3000005852258228,NA,NA,NA,-0.503468636820142,0.8949437369444825,0.042701126089624085,0.05488258163675159,2.6462771816402256e-14,-26.661916173184977,0.999999999985323,0.6117377329353433,NA,5.670931661953705,0.0019956993092974094,0.014524907416990081,0.0860808667326585,0.02217027636001241,0.02217027636001241,0.048127260140568555,2|2|2|1.5|1.5|1.5|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,5.31192819258644|6.07244944007242|5.40482169560425|4.83166505379807|5.59635004849813|5.17889119185647|2.2163348377282|2.09151762324989|2.23838054627991|1.14036494771265|1.80433226886029|1.11304188225242|0.836767709588425|0.823098749500105|1.1059616640986|2.37189720048995|1.56570980060932|1.21804427146768|0.894972266815188|1.16765625480119|1.03659889858845|0.973108730590639|1.7574280556728|1.05529799199894,dt4,PR_0.9
Etoposide,Mahalanobis distance (cutoff = 1),17,0.6634127034429077,exp4,5.683046370492817,0.4997532900535159,NA,NA,3.7702058045947577,NA,NA,0.4450021464676689,NA,-0.8381685416370304,0.8949437369444825,0.13499796240847325,0.21954320487749115,1.6993416183373915e-17,-18.60664535131605,0.9999999999999714,0.4450020360978746,NA,3.770205156440044,0.03293041177339926,0.06764169058946146,0.14325866564067324,0.12425221359547017,0.12425221359547017,0.1739735093913599,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.49037129596846|4.70759161653694|3.12053052943196|3.73131013035273|3.09571980155533|3.48235762116746|4.15283056844411|4.14518951488247|4.62819269109136|2.60462880837124|3.24401124550442|2.89222159223183|1.14793776788084|1.59025522303581|1.19283025190069|1.42355106483834|0.557942561287264|1.452185263173|0.12176595069661|0.619773241554377|0.530264560147676|0.100267102423577|-0.411988462477694|-0.584873531057537,dt4,PR_0.9
Berberine Chloride,Mahalanobis distance (cutoff = 1),20,0.6634127034429077,pow,7.866715619151595,0.5727499654575994,1.0946287510924102,NA,NA,0.3391551915993467,NA,NA,NA,-0.7211242017536684,0.8949437369444825,0.4624901424950646,0.6662722365144534,9.97242156953424e-18,-21.57252183761784,0.9999999999999936,12.954249082780013,NA,5.218879076117907,0.01458510425768381,0.11258934550727207,0.8691306210634492,0.22842865725629902,0.22842865725629902,0.552193350104323,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.88602651460013|5.47217612773395|5.18232541929169|5.50184047888283|5.09739176653898|4.55343164256304|2.91063849476114|3.19048993290108|2.8052118324578|2.65468098765624|2.97048986038478|3.73871846969544|2.09034095319261|1.29089937706029|1.6929245324266|0.416393959452628|1.20277166672659|2.40900655124199|0.49562487139516|-0.0198244630783204|0.400801738833575|1.04481715510973|0.886162559916829|0.873653715217144,dt4,PR_0.9
Latrunculin B,Mahalanobis distance (cutoff = 1),23,0.6634127034429077,exp4,9.223841320981624,1.0221888337333178,NA,NA,6.119213561695522,NA,NA,0.37405259787195433,NA,-0.09922741821875478,0.8949437369444825,0.05629948284918142,0.1230305078328709,4.984184354598688e-15,-36.038471639875375,0.9999999999999186,0.374052593037932,NA,6.11921350688082,0.02768010947865762,0.056857151450580797,0.12041803901208134,0.06192637687104566,0.06192637687104566,0.08532769617003451,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,6.42700277132344|7.13446083984436|7.242154383721|5.33993955292213|4.60637788406485|4.93153325546361|5.91812025209476|6.26639001307529|6.13929690606175|5.49250440652515|5.7713189426364|5.683032424716|1.60133222801825|0.879849233998432|1.26632400361274|1.61956392106141|1.95979174796587|2.01925649074255|2.31643892441818|1.24629177713775|0.688002324774241|0.416863573430762|0.921855287197975|1.89028106371776,dt4,PR_0.9
Rapamycin,Mahalanobis distance (cutoff = 1),23,0.6634127034429077,hill,6.381480118909241,0.7012016071000983,NA,NA,6.822451520749052,0.3000000001731014,NA,3.8820545601606407,NA,-0.6380984173858348,0.8949437369444825,0.004580158141375623,0.01099974633803727,3.4347294071515837e-16,-25.160832967617292,0.9999999999999996,0.2707527423068829,NA,4.233554977652748,4.047044820601224e-5,4.546566629019061e-4,0.005757136546313432,0.0023083293697122374,0.0023083293697122374,0.007114433159997615,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,4.22468609269233|3.77707576149746|5.68538900078979|4.21228696094386|4.08106692477921|4.25197899803126|3.21744835246285|3.07366252961921|4.16890614736507|3.07100706023622|2.96093980535282|3.20389125042675|3.27377888937206|2.23469351092557|2.22429001977533|1.85866760011442|2.02898475888043|2.26764435048552|0.296037359549414|1.08675652832085|0.925215958370052|2.17050448611089|2.530781712663|2.83245376924769,dt4,PR_0.9
