,name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
23,Ca-074-Me,Mahalanobis distance (cutoff = 1),14,0.641121818,pow,4.815249791,0.513557276,0.723472243,NA,NA,0.630137504,NA,NA,NA,-0.835988606,0.864873332,1.14414457,1.560186031,6.57E-12,-18.86867618,0.999999977,3.328732357,NA,3.087161699,0.086163565,0.258847981,0.777617283,0.8254951,0.8254951,1.327509513,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.02180363828609|3.4636870701391|3.03325030688351|2.3243542775189|2.45821894220136|2.59668606458416|1.06359502114012|2.77736151333475|2.19729638207358|0.536753074194472|-0.05925085815075|0.243859122610877|-0.350104469422169|0.445038992652261|0.770667144440545|0.235247781054437|0.664810167700364|0.785912459891458|0.552819765368435|0.672976618079291|0.961130575621223|-0.166578703635084|-0.363194790294204|-0.17611672847886,dt4,rep3
24,Tetrandrine,Mahalanobis distance (cutoff = 1),18,0.641121818,pow,10.79080523,0.744380078,2.482033394,NA,NA,0.425707484,NA,NA,NA,-0.543499493,0.864873332,0.071636056,0.099037986,8.87E-15,-26.69621759,1,2.180864848,NA,6.918220664,0.009763329,0.049742392,0.253428473,0.041598929,0.041598929,0.084039648,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.7844129946613|6.70708829128864|6.87846266223081|4.9826877911104|5.34777039664791|5.04670393520852|2.10960464572018|1.42122276607855|0.557273217028356|2.23053582936683|1.79744037382099|1.13606003250321|0.317689484396641|0.662678801606303|0.720184156461654|1.57994842796233|0.724436147332445|1.71049951946543|0.327824604656588|0.497185798656912|0.374905777638888|0.804183646189608|0.803258802234241|0.481180329018614,dt4,rep3
25,Etoposide,Mahalanobis distance (cutoff = 1),17,0.641121818,exp4,6.277110175,0.405291664,NA,NA,4.024392674,NA,NA,0.429084346,NA,-1.026168566,0.864873332,0.112646762,0.193262473,3.18E-17,-12.06246229,1,0.429084286,NA,4.024392286,0.031752488,0.065222141,0.138134291,0.107422296,0.107422296,0.149778749,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,3.77033943971238|4.06493680840403|3.32658438922995|4.24616511562877|3.69272437671664|3.94343471120066|4.31098512092976|4.22585047629593|4.37288407834892|1.42410736776183|1.39368194555648|1.43337454489947|1.21704460470645|1.02507092708974|1.22327705170098|-0.0805873921714932|0.233740479149065|0.695421456079039|0.516107405605568|-0.777893971438772|-0.315181544370664,dt4,rep3
26,Fluphenazine,Mahalanobis distance (cutoff = 1),21,0.641121818,hill,3.153084679,0.932980263,NA,NA,3.539551155,0.3,NA,4.276751568,NA,-0.149442864,0.864873332,0.014926907,0.698247676,0.000340793,-34.3495974,0.999509596,0.2011665,NA,2.021511381,3.35E-05,0.000373256,0.004633344,0.027992401,0.027992401,0.099247015,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,3.04960955909188|2.58163228686985|1.69534876227321|0.645919140610247|0.527766238659868|0.177610689332753|0.977409877801601|0.380296702202879|0.899843375280204|0.838179934089195|1.10203725048889|0.679759284529721|1.34874319823881|1.41183521486471|0.79125898804774|1.85586171831164|1.69229246433135|1.81949887416311|1.72383526159807|2.00548422461597|1.18027313451558|1.2345521640804|1.85128618234263|1.30038467701651,dt4,rep3
27,Berberine Chloride,Mahalanobis distance (cutoff = 1),15,0.641121818,poly2,8.426062257,0.322389338,-21.62754406,-157.9197015,NA,NA,NA,NA,NA,-1.507058824,0.864873332,6.290682984,6.962628412,3.24E-24,-2.517098772,1,23.10226639,NA,5.402132351,1.997527497,4.048300435,8.328252222,4.828999555,4.828999555,6.590132306,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.99525889925823|4.81699260124815|5.24011774349287|5.75736602362959|5.4411757710033|5.07825455429351|3.38505761856612|3.92947087110517|3.46261725547103|1.3769890743058|1.43087395453052|1.42306148524814|1.05009958482975|0.28920904641869|0.868467469425795|0.0141114404567064|0.0509426893458755|0.447907895747147|0.270227186031013|0.0781251356565398|0.0715922672173064|0.24285284642324|1.14551748726459|0.170552914469517,dt4,rep3
28,Rapamycin,Mahalanobis distance (cutoff = 1),23,0.641121818,hill,5.590326258,0.581602382,NA,NA,4.714454039,0.3,NA,0.427082102,NA,-0.784587078,0.864873332,0.001626504,0.005228042,8.42E-17,-21.10938672,1,0.08366259,NA,3.584080132,8.97E-06,0.000103465,0.001388435,0.000899112,0.000899112,0.002944252,20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02,3.49881778296566|3.40061261976485|3.9423674903801|3.64805491440569|3.59247980879892|3.87700053116685|3.08143901620561|3.29808158956006|2.72633454743665|2.41330738214336|3.15520450718011|3.21840245365257|2.64369207324481|1.81902694850669|2.27381981001614|2.11525004670396|2.18196922489892|2.49775585983676|0.424939830876419|1.20850830069682|0.869189110950438|2.30561762801749|2.54665524716084|2.54238092105745,dt4,rep3
29,Amperozide,Mahalanobis distance (cutoff = 1),21,0.641121818,pow,7.464489725,0.620864179,1.310455491,NA,NA,0.300000014,NA,NA,NA,-0.529798641,0.864873332,0.183388477,0.353803546,3.87E-13,-21.75377583,1,7.440943258,NA,4.785647221,0.003453781,0.034811929,0.350882219,0.092270099,0.092270099,0.250284603,75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,4.67286279844661|5.50016604485296|5.70788630725589|4.04707158672516|3.24707549164753|3.20058685693224|1.96509070294572|1.68925901276721|1.74429402177249|1.67498337237439|1.42466100271173|1.55728034337856|2.10379752213686|1.92982398877008|1.65101966709908|1.6299554154319|1.50106435363136|1.5225447989913|1.31783844335406|1.31284685760426|1.53436011695924,dt4,rep3
30,Latrunculin B,Mahalanobis distance (cutoff = 1),20,0.641121818,exp5,8.821192382,0.830082091,NA,NA,5.791595537,0.523348597,NA,0.297824486,NA,-0.747258998,0.864873332,0.014012245,0.024536047,1.91E-14,-22.94995339,1,0.279040893,NA,5.655458895,0.001963715,0.007760044,0.032457775,0.009997293,0.009997293,0.01846315,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,5.73223940313934|5.24673220783341|5.38949861375992|5.51708968595585|5.69324853122325|5.40391680772628|4.1091657651186|4.5921930034365|4.26291253649376|1.16909063234772|0.798571872523239|0.952320494584797|1.98803747160785|2.40441840607741|1.89973490581945|1.38696720661733|0.992424612776366|0.827507330860543|0.548818299439956|0.905720620931435|1.80656943810482,dt4,rep3
31,Fenbendazole,Mahalanobis distance (cutoff = 1),16,0.641121818,pow,3.46995116,0.622442712,2.552436351,NA,NA,0.300000007,NA,NA,NA,-0.691483351,0.864873332,0.016205575,0.050442406,8.05E-07,-17.26725764,0.999995536,0.062747539,NA,2.224661395,2.91E-05,0.00029356,0.002958898,0.009998899,0.009998899,0.027122225,0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002,2.41710678916099|2.22157949173421|2.41166355101021|0.924111433115404|1.11664325696515|0.53267885546159|0.643998569604494|1.04078322104374|1.04989053347568|2.21427350214351|1.93574435758706|1.63333778587451|0.692036565557151|1.05873627125077|0.93339097482822|1.0308452076845|0.673007597905229|0.325899473232529,dt4,rep3
32,Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),14,0.641121818,exp4,5.917643877,0.657106489,NA,NA,3.793930602,NA,NA,0.013568232,NA,-0.658065154,0.864873332,0.003592868,0.006908644,3.27E-10,-15.0134963,0.999999999,0.013568232,NA,3.793930599,0.001004057,0.002062413,0.004367995,0.003623473,0.003623473,0.005064436,0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,4.32711359143564|3.60111389441716|3.38492454224719|3.50826989571831|3.80711910570128|4.03480755540614|3.3376813908077|3.28323888690518|3.00112282083818|1.30928866398505|0.569944478440406|0.924411832784874|1.43051215525621|2.15035277230609|1.63723551074965,dt4,rep3
