name,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,minDose,maxDose,removal_reason,keep,exp_name
5-Nitro-2-(3-phenylpropylamino)benzoic acid,Mahalanobis distance (cutoff = 1),20,0.6891597409387459,exp4,1.687723065583172,0.5486714926932632,NA,NA,1.1631107906536449,NA,NA,0.013717421309939866,NA,-0.9222312513424717,0.9296764905263681,NA,NA,1.5263893576448724e-10,-18.687516297584494,0.9999989813622194,0.013717421309939866,NA,1.1631107906536449,0.0010150971528448062,0.002085090473199909,0.004416023309076247,0.017766509937403103,0.017766509937403103,NA,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,1.22359741430507|0.929468256502739|0.970674618242108|0.920243410990526|1.48555413283297|1.37629961854196|2.44871166779644|1.54522131476878|1.08344035540494|1.34857285725079|0.576888091096236|0.907949440801821|1.30938992710008|0.904464551707336|0.491608125274912|2.35422600161505|1.18019007199702|1.23390127972835|0.532672658892139|1.37877243326261|0.56712521664884|2.50455312758841|1.06881527768436|1.47721333937268,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,missing_bmdl,FALSE,rep1
Ca-074-Me,Mahalanobis distance (cutoff = 1),13,0.6891597409387459,pow,3.693395755422403,0.5668704345195164,0.896952320566424,NA,NA,0.4529763870218149,NA,NA,NA,-0.8214655884405323,0.9296764905263681,0.849182741064857,1.4209385256375888,7.838546870149824e-10,-20.31653272508562,0.9999991805534355,2.164910678181061,NA,2.545339661991167,0.013422066612225848,0.06199824661358754,0.2863778503124107,0.5589063168296776,0.5589063168296776,1.0823209762104917,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.00999999999999999|0.00999999999999999|0.00999999999999999,2.55082022493412|2.50074432128304|2.43967963144491|2.25362510442722|2.33525125597707|3.12042853737079|1.56379155028917|0.802057286896213|0.0448190771356685|1.40814295857056|1.40063600111891|-0.241459288944648|0.877390105824896|0.282473325396532|-0.153147814196317|-0.00441939841258954|1.15526278706153|0.431514356765494|0.373898414243295|0.294666275320614|-0.196923691719215|0.458342041411132|0.136018126774002|0.917954350631971,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Metoclopramide,Mahalanobis distance (cutoff = 1),11,0.6891597409387459,exp4,1.1038086422706546,0.9218420807990325,NA,NA,0.7607004779531932,NA,NA,0.010000000554142238,NA,-0.39293922249712215,0.9296764905263681,NA,NA,0.0014410720697152495,-30.418537973364316,0.6635267933271637,0.010000000554142238,NA,0.7607004779531932,7.40005855444617e-4,0.0015200310186818339,0.0032192811272675776,0.03410491814291752,0.03410491814291752,NA,100|100|100|75|75|75|31.6227766016838|31.6227766016838|31.6227766016838|10|10|10|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1,1.75827032860524|0.513466712230086|0.375142464913903|1.49451572585465|0.284984084750122|0.442695898638982|-0.386788667853546|-0.362654567437428|-0.144374921382866|0.327936911345904|1.46762554351941|0.228244658336932|1.79446459551423|0.876117159860441|1.23456718467608|1.57652248148429|0.542682847258626|0.360935047324985|1.38116939659532|0.442100386145074|0.241004964845256|3.97561700959909|1.49185797876331|1.13899010222244,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
Taxol (Paclitaxel),Mahalanobis distance (cutoff = 1),23,0.6891597409387459,exp5,6.128083176362077,0.6187523482645505,NA,NA,4.245313087684665,0.3000000002479173,NA,0.012949523383926645,NA,-0.6942906246660491,0.9296764905263681,2.27893886582653e-4,7.47170820851771e-4,4.88015174615088e-18,-22.90513391639593,1,0.012629215011537704,NA,4.223228214272776,2.16416572650393e-6,2.3830529211491392e-5,2.9039796780202804e-4,1.3714903861364831e-4,1.3714903861364831e-4,4.163554703625867e-4,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.00999999999999999|0.00999999999999999|0.00999999999999999|0.00316227766016837|0.00316227766016837|0.00316227766016837,4.06605728064648|4.87296853309018|3.75720818305688|5.16788577971646|4.34353691089007|3.23317613479693|4.20551710889111|3.70622665365015|3.73565104337663|3.8105050365998|2.97749591795027|4.93346605923694|3.50490688693303|3.45991961596276|2.65149027823671|2.38275559738184|2.43667369735305|2.52406786508639|1.69333312298399|2.39225323423228|1.67124753880731|2.73085050303032|2.06954117099713|0.215261694864871,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Sorbitol,Mahalanobis distance (cutoff = 1),14,0.6891597409387459,exp4,0.47722870610029966,1.7521701094129092,NA,NA,0.3288868114646154,NA,NA,0.0025000000319395934,NA,-0.4610340753088975,0.9296764905263681,NA,NA,0.29846677846744185,-43.19033088505646,0.0023256830480748777,0.0025000000319395934,NA,0.3288868114646154,1.850014559729908e-4,3.8000773846754186e-4,8.048202475006581e-4,NA,NA,NA,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,0.39282563355166|-0.209426811210931|0.720283344853375|-0.819767968745309|0.81230415154036|0.233967512828206|0.200655850903641|-1.0826958561524|0.886065714363613|0.0644780383233137|0.0555616581680902|-0.823738000359692|1.02067262662495|0.459307678571521|0.106109331847892|-0.127038625865396|0.891720889495822|9.54320100554286|1.49751102102599|-0.372827365241627|1.12037834571564|0.692254388530429|-0.189586189804392|-0.402021822798056|0.688885807646522|0.485715918207045|-0.276845989297697|-0.290767523956731|0.627626651834897|0.404028809804915|1.41571211878999|1.25929075869927,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,low_hitcall,FALSE,rep1
Staurosporine,Mahalanobis distance (cutoff = 1),32,0.6891597409387459,pow,9.756323891246028,1.2515245264827466,8.277804752691424,NA,NA,0.30000023635647155,NA,NA,NA,-0.2518803121634101,0.9296764905263681,5.290896789131846e-4,9.081832919063104e-4,4.615685886211719e-20,-47.4764966395755,0.999999999999967,0.04960637317388935,NA,6.723665645405609,2.3025378014152702e-5,2.320808450704502e-4,0.002339224077689755,2.519717798030408e-4,2.519717798030408e-4,6.834782956225006e-4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,7.98471401357229|5.90448045576347|5.16242397486448|11.7635156012541|6.19686734052015|8.62881134072523|6.47926944205269|5.75884803399299|5.29877796135167|3.59615894862778|3.45224659711765|5.34271301795244|4.6709890703428|3.2245535567852|3.14498107040458|3.76343056903828|1.94902203636368|1.34799460845319|1.23017484264184|1.84197204954649|2.86944681271996|1.94719073777036|1.29202879595856|1.58551092841063|2.95816055791597|1.41191211215224|0.966940220784655|1.52129529386679|1.19922107396664|0.998487144698188|1.00493996599682|1.12221588949112,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Amperozide,Mahalanobis distance (cutoff = 1),18,0.6891597409387459,exp3,12.028963226607777,0.8249014612727701,0.14559369340382738,1.767529620113368,NA,0.34716892260641463,NA,NA,NA,-0.36164313867769443,0.9296764905263681,12.442938462851856,13.693157986445572,3.3763639530256606e-14,-30.11787326955004,0.9999999999349217,59.17230959886371,NA,8.289877181010716,4.171155304645686,11.248184066272774,25.231321659123335,8.806187458293351,8.806187458293351,13.006428411445347,100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285,8.41607686027254|8.61385688013701|8.43734980276365|4.36211609089997|5.82922096598707|4.94237130575035|2.3415408477743|2.33640213995755|2.06009675098638|0.480189704007364|0.659905725956131|0.131998781165211|0.657339963674212|1.71233257881035|1.13668517414682|0.78711943365342|0.896175556956476|0.667992162233538|0.634192627277989|1.6544431071708|0.989814437407204|1.95642911089723|1.29596676652536|1.37352808119265,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Etoposide,Mahalanobis distance (cutoff = 1),16,0.6891597409387459,exp5,5.290112470744647,0.46817579247355795,NA,NA,3.64573253987521,2.1075054282062804,NA,0.44478174328110415,NA,-0.9329335170010749,0.9296764905263681,0.23225536901844904,0.3712340408036714,1.631598488685404e-17,-16.736490472260513,0.9999999999999157,0.44478174328110415,NA,3.64573253987521,0.12930195746252376,0.18194508396828346,0.2597653297132965,0.25211924946998715,0.25211924946998715,0.29625916058858726,10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.00999999999999999|0.00999999999999999|0.00999999999999999,2.66113992627296|3.27328307886781|2.78370109576774|3.73088937116316|3.74643254116152|3.54647458329825|4.14217289359713|3.9006097932546|4.29004063620075|3.75230363672284|3.29062906738992|3.66234747407761|1.01331148865766|0.482756979960166|1.77221245278688|0.309001221696533|0.0985139382477933|-0.118562592157683|-0.313046712190637|0.713329932127757|0.624233252356324|0.214159135103678|0.757205029656288|-0.0562211583161027,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Fenbendazole,Mahalanobis distance (cutoff = 1),21,0.6891597409387459,pow,4.477457132677508,0.5500280350446237,2.5063535371455448,NA,NA,0.30000001986895286,NA,NA,NA,-0.7768702988515233,0.9296764905263681,0.025764372953065853,0.05431935972440138,6.069411516926311e-13,-20.464801550227563,0.999999997792853,0.19842516185971942,NA,3.0856831976203716,9.210084837745809e-5,9.283182386170421e-4,0.00935686008686071,0.013518401804902679,0.013518401804902679,0.0366689511250388,2|2|2|1.5|1.5|1.5|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033675|0.00632455532033675|0.00632455532033675|0.00199999999999999|0.00199999999999999|0.00199999999999999,3.67016703139107|4.11959782215761|3.04731929725371|3.02845853605795|2.12268421112463|2.45539411064303|0.902535735520909|1.30289577991802|2.07490226115018|1.26121182082249|1.0666107726309|2.1039944983056|1.39399809992382|1.34983314617528|1.69693557190883|0.791487805419133|0.76296113439192|0.43394637181959|1.3948449796098|0.840465556918184|0.79142139610956|0.470077377923914|0.625551776000723|1.13406184108555,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
Tetrandrine,Mahalanobis distance (cutoff = 1),13,0.6891597409387459,exp5,10.879925879936353,0.6122661136892822,NA,NA,7.498652380063168,2.1176229197025718,NA,3.2502916606875285,NA,-0.7308244571774385,0.9296764905263681,1.3639491390471223,1.6429831740745966,2.7530094121692774e-15,-22.29630995371272,0.9999999988970545,3.2501010519412707,NA,7.498006900849694,0.9504424672065089,1.3352169789351958,1.9030609989655198,1.2804252089072137,1.2804252089072137,1.4871904066672323,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.00999999999999999|0.00999999999999999|0.00999999999999999|0.00316227766016837|0.00316227766016837|0.00316227766016837,7.50570159216291|7.59264881039737|7.39193545346557|4.64129217918381|4.88653209563335|3.7431884759548|0.840321007349199|0.60501752051558|0.313368600728956|0.176583733533419|-0.0194890999773509|0.689987155277866|0.768851477737146|0.233787052089139|1.36339910279156|0.39921995133204|0.411563955278523|0.239359514916144|0.967788666428818|0.889179637905955|0.237908336677174|1.50561742774156|0.542466255219833|0.688990872705843,dt4,0.5|0.5|0.5|0.5|0.375|0.375|0.375|0.375|0.158113883008419|0.158113883008419|0.158113883008419|0.158113883008419|0.05|0.05|0.05|0.05|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.0158113883008419|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00499999999999999|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00158113883008418|0.00049999999999999|0.00049999999999999|0.00049999999999999|0.00049999999999999,25|25|25|25|18.75|18.75|18.75|18.75|7.90569415042095|7.90569415042095|7.90569415042095|7.90569415042095|2.5|2.5|2.5|2.5|0.790569415042095|0.790569415042095|0.790569415042095|0.790569415042095|0.25|0.25|0.25|0.25|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.0790569415042095|0.025|0.025|0.025|0.025,kept,TRUE,rep1
